股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
600104,上汽集团,6.0,90,增持,该股进入多头行情中，股价短线上涨概率较大。,正处于反弹阶段。,已有29家主力机构披露2026-06-30报告期持股数据，持仓量总计1.73亿股，占流通A股1.51%,6.1,6.5,5.5,5.2,6.0
600930,华电新能,6.0,90,增持,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有2家主力机构披露2026-06-30报告期持股数据，持仓量总计19.52万股，占流通A股0.01%,5.2,9.3,5.5,1.8,6.2
600938,中国海油,6.0,90,增持,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有204家主力机构披露2026-06-30报告期持股数据，持仓量总计2.50亿股，占流通A股8.38%,7.8,3.6,5.5,3.6,7.2
601059,信达证券,6.0,90,增持,该股进入多头行情中，股价短线上涨概率较大。,上涨趋势有所减缓，可适量高抛低吸。,已有14家主力机构披露2026-06-30报告期持股数据，持仓量总计27.36亿股，占流通A股84.36%,7.0,6.0,6.5,3.7,5.3
601328,交通银行,6.0,90,增持,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有99家主力机构披露2026-06-30报告期持股数据，持仓量总计3.74亿股，占流通A股1.43%,6.2,5.3,5.5,7.8,5.9
601600,中国铝业,6.0,90,增持,该股进入多头行情中，股价短线上涨概率较大。,正处于反弹阶段。,已有98家主力机构披露2026-06-30报告期持股数据，持仓量总计5.58亿股，占流通A股4.24%,5.2,4.5,7.4,7.7,6.5
603296,华勤技术（603296）,6.0,90,增持,弱势下跌过程中，可逢高卖出，暂不考虑买进。,上涨趋势有所减缓，可适量高抛低吸。,已有53家主力机构披露2026-06-30报告期持股数据，持仓量总计3.98亿股，占流通A股49.84%,6.1,5.6,6,2.8,7.6
000776,广发证券,5.9,85,中性,该股进入多头行情中，股价短线上涨概率较大。,回落整理中且下跌有加速趋势。,已有173家主力机构披露2026-06-30报告期持股数据，持仓量总计3.67亿股，占流通A股6.22%,5.1,5.4,4.8,7.0,7.3
000999,华润三九,5.9,86,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有23家主力机构披露2026-06-30报告期持股数据，持仓量总计11.36亿股，占流通A股68.34%,5.6,4.0,6.4,6.8,7.1
002236,大华股份,5.9,86,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,上涨趋势有所减缓，可适量高抛低吸。,已有32家主力机构披露2026-06-30报告期持股数据，持仓量总计5.62亿股，占流通A股23.48%,6.3,3.2,5.9,6.5,7.3
002493,荣盛石化,5.9,86,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速下跌的趋势。,已有34家主力机构披露2026-06-30报告期持股数据，持仓量总计69.30亿股，占流通A股74.02%,5.2,5.1,5.3,7.5,7.1
002714,牧原股份,5.9,86,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,上涨趋势有所减缓，可适量高抛低吸。,已有176家主力机构披露2026-06-30报告期持股数据，持仓量总计13.14亿股，占流通A股40.06%,6.2,6.3,5.5,3.8,6.2
600000,浦发银行,5.9,87,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有25家主力机构披露2026-06-30报告期持股数据，持仓量总计1.35亿股，占流通A股0.41%,6.4,5.1,5.5,7.8,5.5
600188,兖矿能源,5.9,87,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,已发现中线买入信号。,已有107家主力机构披露2026-06-30报告期持股数据，持仓量总计2.22亿股，占流通A股3.72%,5.6,4.6,6.3,7.9,6.4
600803,新奥股份,5.9,87,中性,前期的强势行情已经结束，投资者及时卖出股票为为宜。,正处于反弹阶段。,已有19家主力机构披露2026-06-30报告期持股数据，持仓量总计2304.32万股，占流通A股0.75%,5.9,5.2,5.5,7.3,6.3
